incident_datetime,incident_no,District_no,incident_type_code,incident_type
1/07/2020,781320,24,151.00,Passenger vehicle fire including buses
1/07/2020,781322,17,,
1/07/2020,781321,2,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2020,781319,8,600.00,Good intent call; insuff info to classify
1/07/2020,781323,8,352.10,Vehicle accident-with injuries
1/07/2020,781324,17,621.00,"Smoke scare, odour of smoke"
1/07/2020,781326,17,609.00,Good intent call not classified
1/07/2020,781325,17,732.00,Smoke detector malfunction - monitored by fire service
1/07/2020,781327,24,352.00,Vehicle accident-no injuries
1/07/2020,781328,14,751.00,Smoke detector operated-no fire-smoke from other location
1/07/2020,781329,,523.53,Mutual Aid Given - FRV
1/07/2020,781330,8,623.00,Alarm sounded - no evidence of fire
1/07/2020,781331,14,742.00,Smoke detector malfunction - local
1/07/2020,781332,22,769.00,Unintentional alarm - not involving a malfunction not classified
1/07/2020,781333,2,523.53,Mutual Aid Given - FRV
1/07/2020,781334,7,141.00,"Outside storage fire, not rubbish"
1/07/2020,781336,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2020,781335,20,600.00,Good intent call; insuff info to classify
1/07/2020,781337,13,523.53,Mutual Aid Given - FRV
1/07/2020,781339,8,152.00,Road or transport vehicle fire
1/07/2020,781361,20,111.00,Fire damaging structure and contents
1/07/2020,781338,8,600.00,Good intent call; insuff info to classify
1/07/2020,781340,18,751.00,Smoke detector operated-no fire-smoke from other location
1/07/2020,781343,15,352.10,Vehicle accident-with injuries
1/07/2020,781344,8,742.00,Smoke detector malfunction - local
1/07/2020,781346,9,609.00,Good intent call not classified
1/07/2020,781345,6,609.00,Good intent call not classified
1/07/2020,781347,2,765.00,Alarm activation due to workmen or occupier activities
1/07/2020,781348,7,624.00,Controlled burning
1/07/2020,781349,11,352.10,Vehicle accident-with injuries
1/07/2020,781350,14,523.53,Mutual Aid Given - FRV
1/07/2020,781355,27,523.53,Mutual Aid Given - FRV
1/07/2020,781351,20,609.00,Good intent call not classified
1/07/2020,781352,2,523.53,Mutual Aid Given - FRV
1/07/2020,781354,7,523.53,Mutual Aid Given - FRV
1/07/2020,781353,2,523.53,Mutual Aid Given - FRV
1/07/2020,781360,22,523.53,Mutual Aid Given - FRV
1/07/2020,781359,2,624.00,Controlled burning
1/07/2020,781364,11,154.00,Water vessel fire
1/07/2020,781382,13,143.20,"Stock fodder fire (includes hay bales or rolls, hay stacks etc)"
1/07/2020,781358,18,523.53,Mutual Aid Given - FRV
1/07/2020,781363,20,172.30,Scrub or bush and grass mixture fire (one hectare or less)
1/07/2020,781365,6,624.00,Controlled burning
1/07/2020,781369,5,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
1/07/2020,781367,8,352.00,Vehicle accident-no injuries
1/07/2020,781366,15,352.00,Vehicle accident-no injuries
1/07/2020,781376,7,352.10,Vehicle accident-with injuries
1/07/2020,781371,14,523.53,Mutual Aid Given - FRV
1/07/2020,781368,23,523.53,Mutual Aid Given - FRV
1/07/2020,781373,14,172.30,Scrub or bush and grass mixture fire (one hectare or less)
1/07/2020,781370,2,765.00,Alarm activation due to workmen or occupier activities
1/07/2020,781372,2,700.00,False alarm or false call; insuff info to classify
1/07/2020,781378,11,172.30,Scrub or bush and grass mixture fire (one hectare or less)
1/07/2020,781375,6,352.10,Vehicle accident-with injuries
1/07/2020,781374,2,181.00,"Abandoned outside rubbish, refuse or waste fire"
1/07/2020,781448,20,111.00,Fire damaging structure and contents
1/07/2020,781377,8,121.00,"Foodstuffs burnt, confined to cooking equipment"
1/07/2020,781379,8,413.00,Oil or other combustible liquid spill
1/07/2020,781380,2,181.00,"Abandoned outside rubbish, refuse or waste fire"
1/07/2020,781385,8,352.10,Vehicle accident-with injuries
1/07/2020,781381,15,624.00,Controlled burning
1/07/2020,781386,6,624.00,Controlled burning
1/07/2020,781383,2,523.53,Mutual Aid Given - FRV
1/07/2020,1080179,7,523.53,Mutual Aid Given - FRV
1/07/2020,1080190,,523.53,Mutual Aid Given - FRV
1/07/2020,781389,2,301.30,Animal Rescue
1/07/2020,781388,,523.53,Mutual Aid Given - FRV
1/07/2020,781387,5,624.00,Controlled burning
1/07/2020,781390,8,732.00,Smoke detector malfunction - monitored by fire service
1/07/2020,781393,14,151.00,Passenger vehicle fire including buses
1/07/2020,781391,14,523.53,Mutual Aid Given - FRV
1/07/2020,781395,13,111.00,Fire damaging structure and contents
