incident_datetime,incident_no,District_no,incident_type_code,incident_type
1/07/2019,734349,27,112.00,Fire damaging structure only
1/07/2019,734351,14,352.10,Vehicle accident-with injuries
1/07/2019,734348,18,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2019,734350,8,0.00,Type of incident undetermined
1/07/2019,734352,18,173.20,Small grass fire (One hectare or less)
1/07/2019,734354,,523.00,"Mutual aid given, coverage assignment, standby at fire station or move up"
1/07/2019,734409,8,156.00,"Camper, caravan or rec. vehicle fire (not on blocks or used as a building)"
1/07/2019,734395,13,111.00,Fire damaging structure and contents
1/07/2019,734353,13,151.00,Passenger vehicle fire including buses
1/07/2019,734356,22,151.00,Passenger vehicle fire including buses
1/07/2019,734355,8,352.00,Vehicle accident-no injuries
1/07/2019,734364,15,400.00,Hazardous condition; insuff info to classify
1/07/2019,734357,14,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2019,734359,13,732.00,Smoke detector malfunction - monitored by fire service
1/07/2019,734358,14,762.00,Accidental operation of alarm
1/07/2019,734360,13,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
1/07/2019,734361,14,151.00,Passenger vehicle fire including buses
1/07/2019,734363,13,707.00,Alarm operated due to power surge/spike or short circuit
1/07/2019,734372,2,738.00,"Alarm system malfunction - flat battery, fault in wiring, alarm panel, inadequate maintenance"
1/07/2019,734362,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2019,734370,7,135.00,Fence fire
1/07/2019,734366,8,352.00,Vehicle accident-no injuries
1/07/2019,734368,2,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
1/07/2019,734365,27,352.00,Vehicle accident-no injuries
1/07/2019,734367,11,172.30,Scrub or bush and grass mixture fire (one hectare or less)
1/07/2019,734371,13,412.00,"Odour or gas, gas leak, (domestic or LPG)"
1/07/2019,734373,8,621.00,"Smoke scare, odour of smoke"
1/07/2019,734381,14,184.00,Dumpster or other outside trash receptacle fire
1/07/2019,734374,8,331.00,Lock-in
1/07/2019,734376,18,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
1/07/2019,734389,2,111.00,Fire damaging structure and contents
1/07/2019,734377,14,709.00,False alarm or false call not classified
1/07/2019,734380,22,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2019,734378,15,767.00,"Alarm activation due to aerosol, hair spray or insecticides"
1/07/2019,734386,8,352.00,Vehicle accident-no injuries
1/07/2019,734385,14,151.00,Passenger vehicle fire including buses
1/07/2019,734382,14,181.00,"Abandoned outside rubbish, refuse or waste fire"
1/07/2019,734379,7,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2019,734388,14,471.00,"Known biological hazard (eg medical waste, blood)"
1/07/2019,734387,8,171.00,Forest or wood fire (one hectare or less)
1/07/2019,734390,9,179.00,Vegetation or other outside fire (One hectare or less) not classified
1/07/2019,734383,14,311.00,Medical assistance with oxygen therapy
1/07/2019,734407,8,173.20,Small grass fire (One hectare or less)
1/07/2019,734391,27,700.00,False alarm or false call; insuff info to classify
1/07/2019,734397,7,751.00,Smoke detector operated-no fire-smoke from other location
1/07/2019,734393,13,624.00,Controlled burning
1/07/2019,734392,,172.30,Scrub or bush and grass mixture fire (one hectare or less)
1/07/2019,734394,2,621.00,"Smoke scare, odour of smoke"
1/07/2019,734401,5,352.00,Vehicle accident-no injuries
1/07/2019,734396,22,742.00,Smoke detector malfunction - local
1/07/2019,734400,13,301.30,Animal Rescue
1/07/2019,734398,13,609.00,Good intent call not classified
1/07/2019,734399,8,134.00,"Transformer, power or utility vault, utility equipment fire and power pole fire"
1/07/2019,734403,8,436.00,"Arcing, shorted electrical equipment"
1/07/2019,734402,7,764.00,Incorrect test by service or company personnel
1/07/2019,734404,7,181.00,"Abandoned outside rubbish, refuse or waste fire"
1/07/2019,734405,13,181.00,"Abandoned outside rubbish, refuse or waste fire"
1/07/2019,734420,15,352.10,Vehicle accident-with injuries
1/07/2019,734411,27,172.30,Scrub or bush and grass mixture fire (one hectare or less)
1/07/2019,734406,7,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2019,734408,14,350.00,"Extrication, rescue; insuff info to classify"
1/07/2019,734412,13,151.00,Passenger vehicle fire including buses
1/07/2019,734418,8,352.10,Vehicle accident-with injuries
1/07/2019,734413,8,742.00,Smoke detector malfunction - local
1/07/2019,734417,,351.00,Extrications of victim(s) from mobile property
1/07/2019,734415,24,756.00,Cooking fumes - toast or foodstuffs etc
1/07/2019,734421,,523.00,"Mutual aid given, coverage assignment, standby at fire station or move up"
1/07/2019,734414,27,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2019,734416,15,451.00,Attempt to burn
1/07/2019,734478,9,111.00,Fire damaging structure and contents
1/07/2019,734419,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2019,734422,7,621.00,"Smoke scare, odour of smoke"
1/07/2019,734424,2,352.00,Vehicle accident-no injuries
1/07/2019,734426,8,179.00,Vegetation or other outside fire (One hectare or less) not classified
1/07/2019,734430,2,172.30,Scrub or bush and grass mixture fire (one hectare or less)
1/07/2019,734423,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2019,734425,8,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
1/07/2019,734434,8,624.00,Controlled burning
1/07/2019,734429,18,514.00,Unauthorised burning
1/07/2019,734428,11,352.00,Vehicle accident-no injuries
1/07/2019,734436,8,447.00,Carbon monoxide incident
1/07/2019,734427,8,111.00,Fire damaging structure and contents
1/07/2019,734432,14,352.10,Vehicle accident-with injuries
1/07/2019,734431,8,756.00,Cooking fumes - toast or foodstuffs etc
1/07/2019,734435,14,352.00,Vehicle accident-no injuries
1/07/2019,734440,2,509.00,Other service call not classified (Public Service)
1/07/2019,734438,8,111.00,Fire damaging structure and contents
1/07/2019,734433,20,624.00,Controlled burning
1/07/2019,734439,8,401.00,Suspicious package or unknown substance
1/07/2019,734437,14,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2019,734441,8,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
1/07/2019,734442,27,521.00,Assist police or other governmental agency
1/07/2019,734443,20,436.00,"Arcing, shorted electrical equipment"
1/07/2019,734451,5,352.10,Vehicle accident-with injuries
1/07/2019,734444,13,151.00,Passenger vehicle fire including buses
1/07/2019,734445,8,184.00,Dumpster or other outside trash receptacle fire
1/07/2019,734446,8,621.00,"Smoke scare, odour of smoke"
1/07/2019,734453,14,352.00,Vehicle accident-no injuries
1/07/2019,734447,22,359.00,"Extrication, rescue not classified"
1/07/2019,734450,8,352.10,Vehicle accident-with injuries
1/07/2019,734455,14,412.00,"Odour or gas, gas leak, (domestic or LPG)"
1/07/2019,734449,2,624.00,Controlled burning
1/07/2019,734452,9,624.00,Controlled burning
1/07/2019,734448,27,212.00,Overpressure rupture of pipe or pipeline; air or gas
1/07/2019,734456,8,731.00,Sprinkler malfunction - monitored by fire service
1/07/2019,734454,13,709.00,False alarm or false call not classified
2/07/2019,734458,7,151.00,Passenger vehicle fire including buses
2/07/2019,734457,22,733.00,Heat detector malfunction - monitored by fire service
2/07/2019,734459,8,521.00,Assist police or other governmental agency
2/07/2019,734460,14,453.00,Building weakened or collapsed
2/07/2019,734461,8,113.00,Fire damaging contents only
2/07/2019,734462,8,151.00,Passenger vehicle fire including buses
2/07/2019,734463,2,122.00,Chimney or flue fire - confined
2/07/2019,734464,13,321.00,"EMS call, excluding vehicle accident with injury"
2/07/2019,734465,27,413.00,Oil or other combustible liquid spill
2/07/2019,734475,8,412.00,"Odour or gas, gas leak, (domestic or LPG)"
2/07/2019,734466,2,732.00,Smoke detector malfunction - monitored by fire service
2/07/2019,734467,15,768.00,"Alarm activation due to steam, sauna, steam room"
2/07/2019,734468,14,765.00,Alarm activation due to workmen or occupier activities
2/07/2019,734469,8,173.20,Small grass fire (One hectare or less)
2/07/2019,734476,18,352.00,Vehicle accident-no injuries
2/07/2019,734470,5,732.00,Smoke detector malfunction - monitored by fire service
2/07/2019,734472,14,412.00,"Odour or gas, gas leak, (domestic or LPG)"
2/07/2019,734474,14,113.00,Fire damaging contents only
2/07/2019,734471,,765.00,Alarm activation due to workmen or occupier activities
2/07/2019,734477,2,769.00,Unintentional alarm - not involving a malfunction not classified
2/07/2019,734473,14,509.00,Other service call not classified (Public Service)
2/07/2019,734479,7,765.00,Alarm activation due to workmen or occupier activities
2/07/2019,734480,13,706.00,Council or water supply authority caused pressure surge through mains system
2/07/2019,734483,7,321.00,"EMS call, excluding vehicle accident with injury"
