incident_datetime,incident_no,District_no,incident_type_code,incident_type
1/07/2017,639510,2,521.00,Assist police or other governmental agency
1/07/2017,639514,NULL,352.00,Vehicle accident-no injuries
1/07/2017,639512,14,139.00,Special structure or outside equipment fire not classified
1/07/2017,1079405,15,611.00,Wrong location
1/07/2017,639513,NULL,523.00,"Mutual aid given, coverage assignment, standby at fire station or move up"
1/07/2017,639515,22,600.00,Good intent call; insuff info to classify
1/07/2017,639516,14,151.00,Passenger vehicle fire including buses
1/07/2017,639518,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2017,639520,18,732.00,Smoke detector malfunction - monitored by fire service
1/07/2017,639519,18,543.00,Public service
1/07/2017,639517,20,622.00,"Steam vapour, fog or dust thought to be smoke"
1/07/2017,1079391,8,738.00,"Alarm system malfunction - flat battery, fault in wiring, alarm panel, inadequate maintenance"
1/07/2017,639521,8,134.00,"Transformer, power or utility vault, utility equipment fire and power pole fire"
1/07/2017,639523,8,411.00,Petrol or other flammable liquid spill
1/07/2017,639524,7,151.00,Passenger vehicle fire including buses
1/07/2017,639522,8,732.00,Smoke detector malfunction - monitored by fire service
1/07/2017,639530,18,731.00,Sprinkler malfunction - monitored by fire service
1/07/2017,639526,4,623.00,Alarm sounded - no evidence of fire
1/07/2017,639525,14,352.00,Vehicle accident-no injuries
1/07/2017,639529,16,702.00,"Alarm operated due to extreme weather - storm, lightning, heavy rain, thunder flash flooding"
1/07/2017,639527,NULL,770.00,Fire indicator panel; insuff info to classify
1/07/2017,639528,8,600.00,Good intent call; insuff info to classify
1/07/2017,639532,14,352.10,Vehicle accident-with injuries
1/07/2017,639531,13,707.00,Alarm operated due to power surge/spike or short circuit
1/07/2017,639542,15,151.00,Passenger vehicle fire including buses
1/07/2017,639534,24,741.00,Sprinkler malfunction - local
1/07/2017,639533,8,732.00,Smoke detector malfunction - monitored by fire service
1/07/2017,639535,14,352.00,Vehicle accident-no injuries
1/07/2017,639539,7,352.10,Vehicle accident-with injuries
1/07/2017,639537,14,711.00,"Malicious, mischievous false alarm"
1/07/2017,639536,15,621.00,"Smoke scare, odour of smoke"
1/07/2017,639538,8,621.00,"Smoke scare, odour of smoke"
1/07/2017,639541,8,113.00,Fire damaging contents only
1/07/2017,639540,8,621.00,"Smoke scare, odour of smoke"
1/07/2017,639543,8,742.00,Smoke detector malfunction - local
1/07/2017,639545,18,621.00,"Smoke scare, odour of smoke"
1/07/2017,639544,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2017,639546,8,331.00,Lock-in
1/07/2017,639547,7,765.00,Alarm activation due to workmen or occupier activities
1/07/2017,639552,14,411.00,Petrol or other flammable liquid spill
1/07/2017,639564,9,232.00,Overpressure rupture of pressure vessel; air or gas
1/07/2017,639549,9,181.00,"Abandoned outside rubbish, refuse or waste fire"
1/07/2017,639548,8,742.00,Smoke detector malfunction - local
1/07/2017,639550,27,732.00,Smoke detector malfunction - monitored by fire service
1/07/2017,639551,8,413.00,Oil or other combustible liquid spill
1/07/2017,639554,8,352.00,Vehicle accident-no injuries
1/07/2017,639560,20,352.10,Vehicle accident-with injuries
1/07/2017,1079392,15,139.00,Special structure or outside equipment fire not classified
1/07/2017,639553,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2017,639555,17,412.00,"Odour or gas, gas leak, (domestic or LPG)"
1/07/2017,639556,14,756.00,Cooking fumes - toast or foodstuffs etc
1/07/2017,639557,14,543.00,Public service
1/07/2017,639558,14,352.00,Vehicle accident-no injuries
1/07/2017,639562,8,113.00,Fire damaging contents only
1/07/2017,639559,22,768.00,"Alarm activation due to steam, sauna, steam room"
1/07/2017,639574,14,411.00,Petrol or other flammable liquid spill
1/07/2017,639572,22,129.00,Fire in building confined within non-combustible container with no other flame damage not classified
1/07/2017,639576,2,112.00,Fire damaging structure only
1/07/2017,639561,17,339.00,Lock in not classified
1/07/2017,639563,24,768.00,"Alarm activation due to steam, sauna, steam room"
1/07/2017,639568,18,151.00,Passenger vehicle fire including buses
1/07/2017,639569,NULL,523.00,"Mutual aid given, coverage assignment, standby at fire station or move up"
1/07/2017,639565,20,512.00,"Water or steam leak, (includes open hydrants)"
1/07/2017,639567,14,709.00,False alarm or false call not classified
1/07/2017,639566,NULL,523.00,"Mutual aid given, coverage assignment, standby at fire station or move up"
1/07/2017,639573,17,151.00,Passenger vehicle fire including buses
