incident_datetime,Incident_count,Ball_Direction of maximum wind gust,Ball_Maximum temperature (°C),Ball_Minimum temperature (°C),Ball_Speed of maximum wind gust (km/h),Fern_Direction of maximum wind gust,Fern_Maximum temperature (°C),Fern_Minimum temperature (°C),Fern_Speed of maximum wind gust (km/h),Wang_Direction of maximum wind gust,Wang_Maximum temperature (°C),Wang_Minimum temperature (°C),Wang_Speed of maximum wind gust (km/h)
2019-08-28,102,SSW,8.6,2.4,44.0,SW,21.1,17.3,31.0,WSW,13.7,-0.3,20.0
2019-08-29,120,SSE,9.6,0.5,44.0,SE,18.5,15.4,19.0,SSW,13.0,-3.9,11.0
2019-08-30,140,ESE,14.1,0.5,28.0,SE,25.2,11.9,26.0,ENE,13.9,-4.0,15.0
2019-08-31,133,NNE,15.2,1.8,56.0,N,28.9,11.5,33.0,NNW,15.7,0.5,15.0
2019-09-01,96,NW,15.9,7.6,65.0,ESE,30.2,11.6,22.0,ESE,13.8,-4.2,24.0
2019-09-02,93,N,13.6,6.0,43.0,NNE,38.7,13.6,41.0,SW,15.0,-3.7,20.0
2019-09-03,123,N,18.6,6.2,31.0,E,16.0,11.7,22.0,NNE,12.4,3.8,41.0
2019-09-04,135,NNW,15.5,3.9,33.0,S,19.1,11.0,22.0,S,12.1,2.0,15.0
2019-09-05,107,N,16.2,2.6,35.0,ESE,23.3,10.8,24.0,NE,13.7,-3.8,15.0
2019-09-06,93,W,10.6,4.3,59.0,SE,24.6,11.9,28.0,NE,13.9,-1.5,15.0
2019-09-07,110,W,9.3,4.2,65.0,ESE,17.8,11.0,26.0,NNE,16.6,-0.4,31.0
2019-09-08,90,W,10.1,5.1,67.0,E,20.3,7.8,28.0,NNE,18.6,5.0,35.0
2019-09-09,103,SSW,9.7,3.5,54.0,ESE,29.8,10.0,20.0,W,14.5,8.2,54.0
2019-09-10,112,W,10.6,3.5,22.0,ESE,25.1,18.7,31.0,W,11.7,6.6,57.0
2019-09-11,144,N,15.4,-0.6,41.0,ESE,27.1,10.3,37.0,WSW,13.5,6.8,48.0
2019-09-12,111,N,15.7,7.6,56.0,WNW,36.1,14.7,26.0,WSW,14.7,5.6,31.0
2019-09-13,89,WNW,16.0,-0.3,35.0,SSW,36.9,20.7,24.0,NNE,12.9,-2.8,15.0
2019-09-14,135,NNE,16.9,6.8,30.0,E,31.5,16.6,31.0,NE,10.0,-3.3,20.0
2019-09-15,112,N,16.2,8.5,50.0,NW,31.4,20.0,28.0,NNE,10.4,0.6,13.0
2019-09-16,96,S,10.3,5.8,50.0,NW,28.9,20.5,22.0,SSW,13.3,-3.3,20.0
2019-09-17,89,SSE,11.1,0.5,43.0,S,20.9,12.2,24.0,N,11.4,-4.6,15.0
2019-09-18,116,N,15.0,-0.7,35.0,E,23.0,11.6,26.0,N,11.6,-2.4,26.0
2019-09-19,107,NNE,19.4,5.0,74.0,E,30.2,13.6,19.0,N,10.8,-0.7,30.0
2019-09-20,116,NNE,22.4,12.6,67.0,SW,32.7,14.2,19.0,WNW,16.9,-1.9,76.0
2019-09-21,131,NW,13.9,9.6,54.0,SE,25.3,14.3,26.0,N,13.2,0.2,26.0
2019-09-22,105,NNW,11.5,0.8,41.0,E,36.4,14.8,22.0,NW,18.1,-0.7,57.0
2019-09-23,97,WSW,11.4,4.5,43.0,NNE,39.5,22.6,54.0,WNW,11.2,3.4,43.0
2019-09-24,86,W,10.4,2.1,31.0,SSW,27.0,14.6,26.0,W,10.1,-1.0,30.0
2019-09-25,119,WSW,13.4,3.4,28.0,NW,23.7,12.7,19.0,NNE,12.3,3.1,19.0
2019-09-26,117,NNW,16.5,1.1,35.0,NW,31.6,12.1,20.0,NNE,11.8,-3.3,35.0
2019-09-27,126,SW,14.8,6.1,56.0,NW,31.9,14.9,28.0,NW,16.2,1.8,59.0
2019-09-28,116,SSE,12.4,2.0,28.0,N,35.7,15.6,44.0,W,14.2,7.5,28.0
2019-09-29,126,SW,12.5,4.7,35.0,SSW,19.6,12.9,33.0,NNE,13.1,2.7,17.0
2019-09-30,115,S,12.4,5.8,41.0,N,26.4,8.6,44.0,N,16.5,3.6,20.0
2019-10-01,121,N,18.4,0.3,31.0,WSW,11.8,5.3,22.0,W,18.8,0.7,39.0
2019-10-02,132,N,21.8,7.0,41.0,SE,23.1,8.6,41.0,SW,15.3,2.6,39.0
2019-10-03,139,NNE,22.9,13.5,44.0,WNW,33.1,12.2,30.0,NNE,19.1,-2.0,24.0
2019-10-04,138,SW,13.2,7.6,35.0,WNW,36.5,21.1,35.0,WNW,14.5,6.5,35.0
2019-10-05,142,NNE,20.0,6.7,50.0,SE,20.7,14.9,31.0,N,14.8,-2.3,31.0
2019-10-06,109,NNW,19.3,12.0,56.0,E,25.9,12.7,28.0,WNW,16.0,1.2,54.0
2019-10-07,116,None,14.4,6.7,0.0,E,30.9,13.5,28.0,NW,13.1,5.9,39.0
2019-10-08,100,None,11.2,5.0,0.0,N,28.1,17.8,22.0,NNE,16.7,3.4,44.0
2019-10-09,92,S,11.0,4.2,35.0,WSW,21.6,14.4,19.0,NNW,12.3,6.3,52.0
2019-10-10,120,SSE,13.8,6.1,35.0,SW,14.9,9.4,43.0,W,13.0,5.0,46.0
2019-10-11,101,SE,15.3,5.8,46.0,W,20.9,7.3,20.0,W,11.3,5.9,28.0
2019-10-12,130,SE,19.0,5.9,41.0,NW,24.0,10.2,31.0,N,11.6,0.5,24.0
2019-10-13,109,NNE,19.3,8.7,44.0,NW,16.6,14.6,43.0,NNE,18.3,-0.6,48.0
2019-10-14,128,SSW,23.0,10.1,37.0,SW,16.3,6.2,28.0,W,11.4,6.0,43.0
2019-10-15,103,S,17.2,7.5,31.0,SW,20.5,6.5,22.0,WNW,11.4,3.2,33.0
2019-10-16,122,NNW,16.7,9.2,44.0,ESE,23.8,10.3,20.0,W,14.9,5.7,35.0
2019-10-17,91,W,10.6,5.4,69.0,SSW,26.7,12.6,20.0,N,15.1,8.0,24.0
2019-10-18,103,NW,17.3,0.5,69.0,W,27.3,12.7,19.0,W,14.0,3.1,44.0
2019-10-19,122,W,12.7,4.9,56.0,SW,23.5,17.6,30.0,W,13.4,2.3,30.0
2019-10-20,124,WSW,12.5,4.5,41.0,W,18.8,10.0,20.0,WNW,14.3,2.2,26.0
2019-10-21,125,SE,17.4,6.8,26.0,SW,20.0,8.5,26.0,W,12.6,0.4,59.0
2019-10-22,131,SSE,22.8,4.8,20.0,E,18.2,10.3,26.0,SW,11.3,3.9,57.0
2019-10-23,164,ESE,26.0,4.1,24.0,E,21.5,11.1,26.0,SW,11.0,1.6,37.0
2019-10-24,192,NNE,29.5,10.6,48.0,E,24.8,10.7,41.0,W,11.9,6.3,43.0
2019-10-25,152,NW,18.9,11.7,50.0,E,29.4,12.9,28.0,SSE,12.8,0.3,13.0
2019-10-26,116,W,13.1,5.1,70.0,NW,30.8,19.4,30.0,ENE,13.4,0.0,17.0
2019-10-27,111,W,14.5,3.2,39.0,ESE,24.0,20.3,22.0,E,15.8,-1.8,17.0
2019-10-28,149,S,20.3,2.5,24.0,None,30.7,9.1,0.0,S,17.7,0.0,15.0
2019-10-29,166,N,26.0,6.1,48.0,NE,33.2,14.4,43.0,WSW,18.4,-0.5,28.0
2019-10-30,152,NNW,29.8,9.3,35.0,ESE,25.6,12.2,20.0,SSW,14.3,4.6,35.0
2019-10-31,160,N,29.2,13.9,61.0,SE,21.3,13.2,28.0,SW,13.1,-3.1,22.0
2019-11-01,206,N,28.5,16.0,65.0,NE,34.7,24.8,35.0,NNE,28.2,1.7,28.0
2019-11-02,150,W,17.4,12.6,54.0,N,32.4,23.2,33.0,WNW,29.9,2.3,39.0
2019-11-03,105,WNW,19.7,11.6,39.0,N,33.3,24.1,33.0,W,32.6,4.7,35.0
2019-11-04,125,WSW,12.7,2.9,63.0,ESE,29.9,15.4,19.0,WNW,15.8,6.5,35.0
2019-11-05,113,NW,16.3,0.2,37.0,S,27.1,15.2,20.0,SW,14.3,0.9,24.0
2019-11-06,111,NNW,14.8,6.7,69.0,WSW,14.2,8.5,31.0,SSE,16.1,0.4,24.0
2019-11-07,90,W,13.2,6.8,56.0,ENE,20.1,7.1,17.0,N,18.4,-0.7,20.0
2019-11-08,104,SSW,11.8,6.1,61.0,WNW,22.8,9.3,24.0,N,19.3,0.5,37.0
2019-11-09,104,W,10.8,2.9,52.0,S,24.8,13.0,15.0,NNE,17.3,7.1,43.0
2019-11-10,102,WSW,14.4,6.9,39.0,WSW,23.7,14.4,33.0,WSW,16.6,5.5,43.0
2019-11-11,125,N,26.0,3.4,50.0,SW,21.5,13.7,24.0,WSW,16.3,0.1,30.0
2019-11-12,122,W,13.7,7.2,70.0,WSW,14.5,11.4,30.0,WSW,15.9,1.8,31.0
2019-11-13,88,W,14.4,4.2,52.0,SE,16.6,7.7,20.0,WSW,19.2,2.4,17.0
2019-11-14,100,WSW,17.9,7.4,35.0,E,20.1,7.9,26.0,W,22.1,2.0,50.0
2019-11-15,120,W,16.2,8.2,48.0,E,20.8,9.7,31.0,W,17.5,10.5,41.0
2019-11-16,126,WSW,13.6,4.0,35.0,E,26.4,10.5,28.0,WSW,19.0,0.2,22.0
2019-11-17,121,SSW,15.4,5.7,35.0,NW,26.4,13.6,20.0,N,21.3,1.2,31.0
2019-11-18,128,W,24.5,2.4,41.0,E,24.0,12.5,35.0,WSW,16.2,3.9,72.0
2019-11-19,124,SSE,20.4,6.8,35.0,E,24.2,15.0,28.0,WSW,12.7,1.0,39.0
2019-11-20,173,NE,29.7,6.8,48.0,SW,24.4,15.2,17.0,N,16.3,-2.4,31.0
2019-11-21,408,NNW,35.3,17.4,94.0,SW,24.4,15.8,13.0,W,21.5,-1.1,52.0
2019-11-22,186,S,19.7,7.6,35.0,N,28.9,16.2,33.0,W,15.0,7.8,37.0
2019-11-23,148,W,19.5,4.9,44.0,NE,27.6,15.0,44.0,SSW,16.0,-1.8,35.0
2019-11-24,154,N,23.7,3.8,28.0,N,25.5,13.3,43.0,SSE,19.9,-1.3,20.0
2019-11-25,148,N,24.0,6.4,69.0,WNW,14.3,10.5,43.0,WSW,21.4,0.7,24.0
2019-11-26,159,SW,13.4,7.3,54.0,SW,16.7,7.0,31.0,SW,19.6,0.7,44.0
2019-11-27,131,NW,21.8,0.8,46.0,E,19.9,8.0,17.0,NNE,19.6,-1.0,20.0
2019-11-28,123,SE,23.2,6.3,39.0,NW,23.9,11.2,24.0,NNE,20.0,-0.4,24.0
2019-11-29,162,SW,21.5,6.7,37.0,SW,25.2,17.3,50.0,ESE,20.4,2.8,20.0
2019-11-30,138,W,17.1,4.7,35.0,W,9.1,5.3,30.0,N,23.6,1.3,33.0
2019-12-01,97,NNW,14.6,5.6,52.0,SW,9.2,4.8,31.0,SSE,27.0,15.1,46.0
2019-12-02,94,WSW,11.7,5.0,57.0,SE,14.1,8.3,17.0,ENE,28.3,9.4,24.0
2019-12-03,106,W,19.3,4.8,61.0,NW,21.6,7.8,28.0,WNW,29.3,8.6,44.0
2019-12-04,124,W,20.7,8.4,50.0,NW,21.7,13.4,24.0,NNE,23.5,-1.0,31.0
2019-12-05,133,WSW,20.4,4.3,57.0,E,20.1,9.3,19.0,ESE,23.9,3.9,17.0
2019-12-06,124,WSW,18.2,8.7,46.0,NNE,23.6,11.2,57.0,N,21.1,10.7,30.0
2019-12-07,171,SSW,21.4,5.0,35.0,N,17.6,12.6,46.0,SSW,22.4,10.6,30.0
2019-12-08,147,SE,28.8,6.7,26.0,NW,21.7,8.8,31.0,SE,22.3,3.8,24.0
2019-12-09,195,W,34.4,14.1,56.0,NW,18.5,9.3,39.0,SW,23.0,2.1,31.0
2019-12-10,120,S,20.3,10.3,44.0,SSW,11.5,6.3,30.0,S,25.5,3.2,24.0
2019-12-11,124,SSE,21.9,8.7,44.0,E,11.9,6.0,15.0,ESE,27.2,3.6,20.0
2019-12-12,135,SW,17.3,9.5,44.0,SE,16.2,6.6,20.0,SE,21.6,8.0,33.0
2019-12-13,164,SW,19.3,6.9,41.0,NNE,20.4,7.0,20.0,SSE,20.5,11.5,44.0
2019-12-14,150,WSW,20.6,10.1,35.0,SE,17.8,10.3,17.0,S,22.3,0.7,28.0
2019-12-15,136,W,21.4,10.8,44.0,ESE,20.3,9.2,17.0,ESE,23.0,1.3,30.0
2019-12-16,140,SSW,24.9,9.1,37.0,E,22.6,13.4,26.0,E,24.0,2.7,30.0
2019-12-17,145,SSE,30.7,10.7,35.0,NE,25.6,17.3,31.0,NNE,26.7,7.0,41.0
2019-12-18,175,NNW,30.4,12.4,41.0,NNE,25.6,19.3,44.0,NNE,29.1,8.7,46.0
2019-12-19,173,SE,30.1,16.0,41.0,ESE,14.9,7.8,31.0,WNW,23.1,15.9,56.0
2019-12-20,342,N,43.5,12.7,61.0,ESE,21.6,6.7,28.0,NNW,23.4,13.6,35.0
2019-12-21,214,S,20.1,13.6,52.0,None,25.3,13.5,0.0,N,22.1,9.8,28.0
2019-12-22,140,SE,23.4,6.3,48.0,NE,23.0,19.3,43.0,NNE,28.4,4.8,35.0
2019-12-23,159,SE,27.1,8.6,41.0,E,12.8,9.9,22.0,WSW,22.9,13.3,63.0
2019-12-24,126,SSE,26.6,9.9,41.0,ESE,14.7,10.1,24.0,SW,21.4,3.2,28.0
2019-12-25,131,SSW,30.6,12.2,46.0,SW,19.2,10.7,15.0,NNE,26.1,1.3,24.0
2019-12-26,130,SSE,26.7,11.5,44.0,NW,16.4,8.1,20.0,SW,27.6,5.3,46.0
2019-12-27,165,SE,35.0,10.4,50.0,WSW,10.9,7.9,37.0,SSW,23.1,6.2,28.0
2019-12-28,143,WNW,36.8,17.5,44.0,WNW,10.7,3.9,24.0,WSW,25.6,2.1,31.0
2019-12-29,171,NNW,38.5,15.4,54.0,NW,13.0,7.1,22.0,W,24.7,1.8,43.0
2019-12-30,350,NW,39.9,18.1,80.0,N,14.0,8.0,19.0,SSW,23.7,3.7,50.0
2019-12-31,302,S,21.7,10.9,61.0,NE,18.9,8.3,39.0,WNW,25.3,6.0,26.0
2020-01-01,235,WSW,25.9,7.4,41.0,NW,8.3,3.3,37.0,N,40.0,20.8,46.0
2020-01-02,180,ESE,27.2,8.6,39.0,N,17.6,13.7,43.0,SW,34.8,21.6,50.0
2020-01-03,222,N,34.9,10.9,43.0,NNE,17.1,12.9,39.0,NW,35.1,22.0,63.0
2020-01-04,209,S,24.4,17.1,56.0,NW,15.5,9.5,20.0,NNW,32.0,19.0,31.0
2020-01-05,162,SSE,14.1,9.2,57.0,WSW,11.0,8.8,30.0,N,37.3,10.3,41.0
2020-01-06,152,SE,18.6,9.2,54.0,SW,12.2,7.6,19.0,WSW,33.8,19.6,80.0
2020-01-07,131,SE,21.7,12.8,54.0,SE,12.5,8.3,11.0,WNW,23.3,12.5,44.0
2020-01-08,142,SE,26.6,12.9,52.0,N,13.4,5.7,43.0,WNW,27.6,2.7,35.0
2020-01-09,153,SE,33.0,14.5,46.0,W,12.5,6.4,31.0,NNE,29.3,14.4,39.0
2020-01-10,182,WNW,29.0,18.1,72.0,NNE,11.4,6.5,43.0,NW,25.9,16.6,43.0
2020-01-11,153,S,18.9,10.0,50.0,S,9.9,7.6,37.0,SSW,18.9,12.4,43.0
2020-01-12,121,SSE,22.1,9.0,56.0,SW,10.1,6.1,22.0,WSW,19.4,5.1,37.0
2020-01-13,136,ESE,29.9,9.0,56.0,NW,11.8,6.8,17.0,WSW,22.1,3.3,39.0
2020-01-14,172,ESE,34.1,15.7,44.0,NW,12.7,8.9,33.0,NNW,26.4,3.6,44.0
2020-01-15,247,W,35.1,20.8,59.0,NNW,15.8,8.6,22.0,N,28.9,5.3,28.0
2020-01-16,144,SSE,20.5,12.1,54.0,SW,12.2,8.8,13.0,NNE,30.6,7.0,28.0
2020-01-17,125,SE,17.1,7.6,59.0,ESE,13.9,5.8,11.0,NNE,24.6,12.6,54.0
2020-01-18,105,SE,28.1,10.9,54.0,NNW,15.7,7.3,15.0,NNW,27.1,16.5,33.0
2020-01-19,189,SE,29.7,13.1,57.0,NW,17.2,9.2,15.0,WSW,25.0,12.0,35.0
2020-01-20,133,SSE,19.5,15.4,48.0,NNE,16.8,11.1,28.0,SSW,27.2,5.8,30.0
2020-01-21,107,SSW,24.3,10.6,35.0,NNE,15.0,12.5,46.0,ESE,27.9,9.5,30.0
2020-01-22,180,N,29.4,11.8,83.0,NW,15.4,8.7,24.0,NNE,28.6,7.6,31.0
2020-01-23,102,WNW,18.7,10.2,63.0,NW,17.4,9.6,22.0,N,30.0,8.4,39.0
2020-01-24,136,WNW,20.5,5.9,37.0,NNE,17.2,10.5,37.0,W,31.3,11.2,57.0
2020-01-25,135,NW,26.5,8.3,39.0,N,16.0,13.5,43.0,NW,24.6,14.4,46.0
2020-01-26,149,WSW,24.2,11.4,35.0,NW,15.4,10.2,33.0,NW,13.5,9.8,56.0
2020-01-27,118,S,25.4,9.9,37.0,NW,9.7,4.3,37.0,W,15.6,8.5,52.0
2020-01-28,138,WSW,27.1,10.0,35.0,WSW,9.9,2.9,39.0,WSW,20.8,10.0,44.0
2020-01-29,121,ESE,32.6,12.1,33.0,NW,9.4,3.0,37.0,S,24.9,6.5,43.0
2020-01-30,166,N,37.2,13.1,52.0,NNW,5.6,4.0,30.0,SW,26.3,7.4,28.0
2020-01-31,211,NNW,39.4,18.7,93.0,WSW,9.2,2.1,22.0,NE,27.2,9.6,31.0
2020-02-01,196,NNW,25.4,21.9,48.0,SSE,10.1,7.8,19.0,SSW,25.9,20.9,48.0
2020-02-02,99,W,22.3,10.5,50.0,NW,9.5,7.3,19.0,SSW,30.3,17.1,48.0
2020-02-03,99,SSW,16.6,9.1,54.0,E,7.2,4.7,35.0,NNW,31.9,6.9,39.0
2020-02-04,107,SSE,19.8,5.6,48.0,ESE,8.1,3.6,31.0,NW,23.6,15.1,54.0
2020-02-05,121,SE,21.8,9.2,54.0,SW,8.5,4.7,19.0,W,26.5,5.9,54.0
2020-02-06,170,SE,28.9,11.1,56.0,WSW,9.8,6.1,17.0,SSW,29.2,13.1,35.0
2020-02-07,162,SE,27.4,14.8,48.0,NNW,12.8,7.2,19.0,NNE,31.9,10.0,26.0
2020-02-08,135,SE,26.6,16.7,57.0,N,14.1,7.2,31.0,N,34.7,11.4,35.0
2020-02-09,125,SE,25.4,16.0,54.0,NE,14.2,9.2,43.0,ENE,37.2,14.7,35.0
2020-02-10,111,ESE,22.7,15.6,43.0,N,13.5,10.3,52.0,NNW,38.0,16.0,57.0
2020-02-11,132,S,24.7,16.1,43.0,N,15.2,7.1,33.0,SSW,30.1,20.4,48.0
2020-02-12,132,SE,23.0,15.7,54.0,NE,13.9,10.9,59.0,WSW,31.7,15.5,39.0
2020-02-13,141,SE,29.9,16.6,57.0,NW,11.9,5.5,26.0,N,34.4,11.8,41.0
2020-02-14,253,SW,29.5,17.5,56.0,NNW,11.6,7.2,30.0,NE,34.1,18.5,59.0
2020-02-15,151,S,18.9,15.8,41.0,NW,9.7,5.7,15.0,WSW,22.4,18.5,50.0
2020-02-16,116,SE,22.2,12.2,50.0,NW,12.1,6.9,19.0,SSE,23.2,13.6,28.0
2020-02-17,115,SE,28.0,12.6,44.0,N,12.8,6.4,20.0,N,26.9,15.2,48.0
2020-02-18,149,W,22.3,15.8,70.0,NNE,7.3,7.0,39.0,WNW,23.4,13.2,33.0
2020-02-19,125,S,18.0,11.0,56.0,NNW,6.5,3.1,13.0,W,30.5,12.5,43.0
2020-02-20,111,S,18.1,9.7,41.0,WSW,6.0,3.4,19.0,SSW,32.8,14.1,28.0
2020-02-21,132,S,18.0,9.4,48.0,SSW,8.1,3.8,20.0,WNW,31.7,18.0,35.0
2020-02-22,135,SE,22.4,9.3,46.0,S,7.5,4.6,13.0,SSW,33.2,16.9,41.0
2020-02-23,136,NW,31.6,7.7,52.0,ESE,8.1,3.7,20.0,WSW,28.8,14.8,50.0
2020-02-24,107,N,28.9,13.2,43.0,NW,12.4,2.2,13.0,SW,26.0,12.8,43.0
2020-02-25,112,NW,29.8,16.8,56.0,N,12.4,5.8,19.0,SSW,28.7,8.8,24.0
2020-02-26,105,SW,17.8,11.4,50.0,NE,13.4,7.2,19.0,NNE,32.8,11.2,30.0
2020-02-27,104,None,16.5,3.6,0.0,N,13.3,8.5,44.0,WSW,36.6,13.3,43.0
2020-02-28,105,WSW,17.6,8.7,43.0,NNE,14.9,9.7,44.0,WSW,38.1,14.3,39.0
2020-02-29,130,SSE,23.9,9.9,28.0,NNE,13.0,10.8,69.0,NNW,41.2,13.6,41.0
2020-03-01,85,WNW,31.3,9.8,61.0,N,9.1,4.3,44.0,N,36.6,13.9,30.0
2020-03-02,91,S,18.0,8.9,50.0,N,10.4,5.8,43.0,NNE,34.9,14.8,41.0
2020-03-03,96,SSE,19.1,9.0,52.0,E,9.4,5.7,22.0,WSW,36.8,17.0,28.0
2020-03-04,125,SE,21.7,10.7,46.0,E,13.0,4.5,30.0,WNW,36.8,18.9,35.0
2020-03-05,168,SSE,18.9,13.8,31.0,NNE,15.0,6.6,15.0,NW,37.8,15.2,35.0
2020-03-06,111,SSW,17.3,12.1,41.0,NE,14.5,9.3,28.0,NW,42.8,15.0,46.0
2020-03-07,130,S,18.8,9.3,52.0,NE,13.5,10.1,30.0,W,25.0,18.5,59.0
2020-03-08,120,SE,19.3,11.3,52.0,NW,11.5,7.7,19.0,ESE,30.9,10.6,37.0
2020-03-09,129,ESE,19.0,10.0,50.0,NNW,9.3,5.3,20.0,N,33.5,11.3,28.0
2020-03-10,136,SE,25.2,8.9,37.0,NNE,10.3,6.0,69.0,NW,34.2,17.7,43.0
2020-03-11,115,N,28.2,11.1,43.0,NW,8.7,2.4,39.0,WNW,30.1,14.1,46.0
2020-03-12,120,N,28.5,16.2,57.0,WNW,9.6,5.1,39.0,S,30.1,8.4,35.0
2020-03-13,120,S,28.0,17.2,61.0,W,5.0,2.8,41.0,WSW,35.9,12.0,39.0
2020-03-14,123,SSE,16.3,6.7,63.0,WNW,7.1,2.5,37.0,N,38.9,13.5,30.0
2020-03-15,147,SSE,16.6,8.8,43.0,W,8.9,3.7,41.0,NNE,41.2,19.7,30.0
2020-03-16,138,ESE,24.2,9.3,46.0,W,8.4,6.2,28.0,N,40.4,18.9,33.0
2020-03-17,135,NNE,27.2,8.3,48.0,NW,7.4,5.3,28.0,WSW,43.6,19.1,56.0
2020-03-18,103,N,29.2,15.9,52.0,NW,9.5,4.8,33.0,S,44.2,17.3,44.0
2020-03-19,132,NNW,30.9,17.4,63.0,WNW,10.8,5.7,28.0,S,39.5,24.2,44.0
2020-03-20,126,W,20.2,8.6,54.0,NNE,11.6,5.7,56.0,SW,38.2,23.0,59.0
2020-03-21,132,S,19.9,7.6,31.0,N,10.9,8.8,63.0,WSW,35.3,16.5,33.0
2020-03-22,117,S,18.0,7.1,44.0,NNE,11.1,5.4,52.0,NNW,36.8,13.8,26.0
2020-03-23,131,S,17.0,5.8,46.0,N,9.7,6.5,48.0,NNE,39.0,17.2,33.0
2020-03-24,98,SE,17.9,8.6,39.0,NNW,8.6,2.1,24.0,WNW,42.1,17.5,44.0
2020-03-25,114,S,16.9,6.1,50.0,NNW,9.5,4.7,30.0,SSW,41.8,19.9,44.0
2020-03-26,131,SE,19.2,9.2,54.0,N,10.0,7.3,26.0,NNE,40.6,18.7,28.0
2020-03-27,160,NNE,25.5,7.1,39.0,NW,10.1,6.8,24.0,N,45.4,22.8,46.0
2020-03-28,191,N,26.3,12.6,56.0,NW,10.3,4.3,19.0,WSW,38.7,25.1,35.0
2020-03-29,141,N,22.8,16.5,57.0,S,10.1,5.3,19.0,W,25.1,19.0,44.0
2020-03-30,129,W,20.2,9.5,39.0,SE,7.8,4.0,19.0,NNE,30.5,15.6,28.0
2020-03-31,116,WSW,21.3,6.2,26.0,ENE,9.4,2.4,17.0,N,33.7,16.8,26.0
2020-04-01,135,NNE,22.4,6.6,33.0,W,14.9,9.1,30.0,NE,28.0,6.9,35.0
2020-04-02,105,E,14.6,12.4,48.0,E,15.8,8.7,28.0,NW,26.4,9.7,76.0
2020-04-03,122,NNE,20.8,10.5,63.0,NE,19.8,9.6,17.0,SW,15.9,8.7,61.0
2020-04-04,112,W,12.6,9.2,65.0,NE,16.8,14.4,33.0,WSW,17.5,8.6,39.0
2020-04-05,115,None,14.4,4.7,0.0,WSW,15.6,10.7,26.0,SE,31.9,10.1,24.0
2020-04-06,101,S,12.5,6.9,26.0,E,17.5,9.6,30.0,N,36.1,15.6,56.0
2020-04-07,92,S,12.7,6.3,30.0,E,18.0,10.3,39.0,WNW,38.2,23.3,70.0
2020-04-08,83,SE,16.3,8.6,48.0,ESE,17.6,8.7,37.0,W,37.2,20.7,50.0
2020-04-09,134,SE,21.6,8.2,41.0,WSW,22.1,8.4,15.0,NNE,28.3,19.9,31.0
2020-04-10,112,NNW,19.4,8.9,46.0,NNE,25.2,12.9,19.0,WSW,35.0,16.4,63.0
2020-04-11,91,W,12.3,8.8,69.0,NNE,24.5,18.5,39.0,NNW,32.2,20.5,44.0
2020-04-12,119,SW,11.5,7.6,33.0,NNE,22.4,18.6,44.0,NNW,28.4,19.7,52.0
2020-04-13,101,WNW,18.0,8.3,24.0,E,13.4,7.4,37.0,WNW,22.2,14.2,69.0
2020-04-14,93,N,20.4,9.0,41.0,ESE,15.4,7.4,33.0,WNW,26.1,8.7,28.0
2020-04-15,107,N,21.9,11.1,50.0,E,21.1,7.3,31.0,NW,30.9,10.0,41.0
2020-04-16,88,WSW,17.7,9.5,50.0,ENE,23.4,11.3,26.0,W,27.9,15.8,67.0
2020-04-17,97,WSW,15.8,4.9,46.0,N,24.5,16.5,31.0,SSW,22.4,5.0,43.0
2020-04-18,120,W,12.9,9.2,30.0,NNE,27.6,18.6,39.0,WSW,27.0,5.0,28.0
2020-04-19,113,N,16.0,5.9,59.0,SW,18.5,10.8,35.0,N,32.5,9.8,30.0
2020-04-20,85,N,17.6,9.7,67.0,W,15.3,8.6,19.0,N,33.8,13.1,31.0
2020-04-21,90,NW,16.6,2.6,43.0,W,14.4,8.9,26.0,W,36.0,12.8,52.0
2020-04-22,84,W,15.7,5.1,31.0,E,14.1,7.3,24.0,SW,33.7,18.3,35.0
2020-04-23,108,N,16.1,4.1,50.0,ESE,15.1,7.0,22.0,WSW,27.5,13.4,48.0
2020-04-24,127,WNW,19.3,9.1,33.0,S,13.5,8.7,20.0,SW,29.8,10.1,41.0
2020-04-25,129,N,18.9,6.2,50.0,ESE,18.1,8.8,30.0,W,31.7,10.5,54.0
2020-04-26,66,WNW,15.2,11.9,57.0,NE,22.7,9.8,17.0,SW,32.9,11.5,35.0
2020-04-27,98,WNW,14.4,0.7,24.0,N,22.8,15.9,35.0,ESE,33.5,11.8,35.0
2020-04-28,96,N,13.5,3.3,54.0,NNE,22.9,16.7,43.0,NE,31.2,10.4,22.0
2020-04-29,97,W,13.7,9.3,65.0,SW,17.7,12.4,20.0,N,31.9,9.7,24.0
2020-04-30,102,WNW,11.0,1.6,69.0,N,18.1,9.6,15.0,SW,35.5,13.2,28.0
2020-05-01,91,W,8.1,4.8,69.0,E,20.2,11.6,17.0,SW,17.1,2.8,37.0
2020-05-02,84,WSW,10.2,5.1,57.0,ESE,17.4,12.4,28.0,W,19.3,1.7,35.0
2020-05-03,89,SSW,10.6,5.4,33.0,NNE,19.3,11.3,41.0,NNE,20.0,1.8,17.0
2020-05-04,74,SSE,11.5,6.7,31.0,WSW,11.3,8.9,30.0,NE,23.8,1.9,41.0
2020-05-05,99,N,15.4,1.4,43.0,NW,10.9,3.6,44.0,NE,36.6,14.7,26.0
2020-05-06,80,NNE,15.8,8.7,57.0,SSW,11.2,6.8,15.0,N,34.4,14.5,33.0
